Date,OpenNestleind,HighNestleind,LowNestleind,CloseNestleind,VolumeNestleind
14-05-2018 08:45,9558.6,9584.95,9550,9577.3,8961
14-05-2018 09:45,9578.55,9583.95,9560,9580,4678
15-05-2018 03:45,9600,9639.9,9600,9612,15357
15-05-2018 04:45,9607.95,9610,9561.1,9600.25,29003
15-05-2018 05:45,9602,9604.7,9580,9584.55,4113
15-05-2018 06:45,9585.35,9588.7,9565.9,9578,4699
15-05-2018 07:45,9572.65,9577.4,9525,9534,6484
15-05-2018 08:45,9537.1,9563,9475.15,9560.35,20122
15-05-2018 09:45,9564.15,9600,9563.95,9565.2,8273
16-05-2018 03:45,9544.9,9560,9477.35,9480,6763
16-05-2018 04:45,9486.55,9529,9465,9497.95,2705
16-05-2018 05:45,9493,9505.2,9484,9497.25,1149
16-05-2018 06:45,9498.3,9570,9484,9548,8921
16-05-2018 07:45,9544,9625,9540.55,9593.2,12290
16-05-2018 08:45,9591.8,9644.95,9587.9,9630,13211
16-05-2018 09:45,9629,9644.9,9612,9628,5616
17-05-2018 03:45,9645,9645,9548.2,9581.8,7432
17-05-2018 04:45,9575.75,9624.9,9570,9620.85,4348
17-05-2018 05:45,9620,9699,9620,9671.15,11244
17-05-2018 06:45,9670.4,9774.95,9639.1,9766.75,20611
17-05-2018 07:45,9756.1,9811,9745.65,9796,9232
17-05-2018 08:45,9799.6,9889.95,9661,9661,22489
17-05-2018 09:45,9679.45,9711.5,9647.95,9665.8,7287
18-05-2018 03:45,9699.95,9783.2,9670,9783.2,13810
18-05-2018 04:45,9783.2,9808.6,9775.05,9796.55,12085
18-05-2018 05:45,9801.2,9803.7,9732,9735.25,23983
18-05-2018 06:45,9734,9777.85,9734,9770.6,3175
18-05-2018 07:45,9770.6,9782,9732.9,9745,6900
18-05-2018 08:45,9750.85,9760.25,9699.3,9699.3,19935
18-05-2018 09:45,9698,9698,9643.95,9683.5,5753
21-05-2018 03:45,9700,9746,9690.05,9709,8199
21-05-2018 04:45,9704.95,9735.05,9660.1,9666,5201
21-05-2018 05:45,9661.2,9670.9,9575.05,9590,4353
21-05-2018 06:45,9590.05,9590.05,9503.05,9510.25,5784
21-05-2018 07:45,9510.3,9535,9488.9,9493,5359
21-05-2018 08:45,9495,9532.8,9475.65,9485,8031
21-05-2018 09:45,9485,9505,9470,9486.35,4281
22-05-2018 06:45,9520,9599.95,9520,9591,40183
22-05-2018 07:45,9585.15,9600,9570,9580.05,4327
22-05-2018 08:45,9580.15,9649.1,9580.15,9630,6529
22-05-2018 09:45,9636.2,9640,9629,9634.25,2848
23-05-2018 03:45,9635,9718.9,9625,9691.05,7463
23-05-2018 04:45,9692.15,9700,9615.55,9651.9,6614
