Date,OpenHdfcbank,HighHdfcbank,LowHdfcbank,CloseHdfcbank,VolumeHdfcbank
06-06-2018 03:45,1030.125,1032.225,1025.8,1029.5,363826
06-06-2018 04:45,1029.425,1029.9,1025.725,1028.975,182911
06-06-2018 05:45,1029.5,1029.95,1027.3,1027.775,351843
06-06-2018 06:45,1027.725,1030,1027.575,1028.9,409517
06-06-2018 07:45,1028.95,1030,1027.925,1029.725,246185
06-06-2018 08:45,1029.725,1031.025,1022.6,1028.6,683232
06-06-2018 09:45,1029,1029,1027.4,1028.675,207127
07-06-2018 03:45,1037.225,1037.225,1033.5,1034.675,479847
07-06-2018 04:45,1034.65,1037.1,1034.375,1035.975,238706
07-06-2018 05:45,1035.6,1037.2,1035,1037.125,371296
07-06-2018 06:45,1037.325,1039.225,1036.15,1037.975,408726
07-06-2018 07:45,1037.95,1039.775,1036.925,1038.5,238219
07-06-2018 08:45,1038.5,1038.575,1031.55,1034.725,394995
07-06-2018 09:45,1034.4,1034.875,1027.1,1031.1,504898
08-06-2018 03:45,1029.625,1030,1023,1023.5,276184
08-06-2018 04:45,1023.7,1024.5,1020.75,1021.525,145726
08-06-2018 05:45,1021.5,1022.2,1018.6,1018.65,164449
08-06-2018 06:45,1018.65,1024.5,1017.65,1024.05,224750
08-06-2018 07:45,1024.325,1025.05,1020.025,1021.375,243663
08-06-2018 08:45,1021.375,1025.15,1019.375,1024.925,353712
08-06-2018 09:45,1024.725,1025.5,1023.425,1024.675,132113
11-06-2018 03:45,1026,1031.4,1024.15,1027.225,348619
11-06-2018 04:45,1027.4,1028.975,1024.125,1025.425,267871
11-06-2018 05:45,1025.075,1028.5,1025.025,1025.725,163679
11-06-2018 06:45,1025.75,1027.725,1025.575,1027.55,240031
11-06-2018 07:45,1027.475,1027.925,1025,1025.625,191866
11-06-2018 08:45,1025.55,1025.55,1019.65,1021.775,423890
11-06-2018 09:45,1021.125,1022.275,1020.125,1020.75,132711
12-06-2018 03:45,1024.95,1025.075,1020.55,1023.7,226852
12-06-2018 04:45,1024,1026.2,1021.775,1023.5,201828
12-06-2018 05:45,1023.7,1025,1022.325,1023.125,159264
12-06-2018 06:45,1023.925,1024.85,1019.25,1021.95,176215
12-06-2018 07:45,1021.95,1023,1019.75,1022.375,146021
12-06-2018 08:45,1022,1022.475,1020.45,1021.7,248406
12-06-2018 09:45,1021.8,1023.075,1020.875,1021.95,139480
13-06-2018 03:45,1026.025,1026.625,1016.525,1017.5,345684
13-06-2018 04:45,1017.15,1022.175,1017,1020.15,258018
13-06-2018 05:45,1020.15,1021.05,1016.7,1016.975,166547
13-06-2018 06:45,1016.95,1018.15,1013.925,1013.925,248149
13-06-2018 07:45,1013.95,1016.775,1013.525,1015.125,249705
13-06-2018 08:45,1015.075,1016.5,1012.15,1016.425,486076
13-06-2018 09:45,1016.25,1016.25,1015.225,1015.725,218311
14-06-2018 03:45,1013.9,1021.6,1013.9,1020,1521904
14-06-2018 04:45,1019.925,1021,1018.875,1019.875,387635
